Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1710878520.653124,2372,0,1
2,Payment,1710878520.655506,1115,0,1
2,Payment,1710878520.656631,953,0,1
2,Payment,1710878520.657593,877,0,1
2,Payment,1710878520.658479,895,0,1
1,NewOrder,1710878520.659382,2342,0,1
3,OrderStatus,1710878520.661733,740,0,1
1,NewOrder,1710878520.662481,2459,0,1
1,NewOrder,1710878520.664952,2469,0,1
1,NewOrder,1710878520.667433,1941,0,1
1,NewOrder,1710878520.669383,3225,0,1
1,NewOrder,1710878520.672620,2293,0,1
2,Payment,1710878520.674923,963,0,1
1,NewOrder,1710878520.675894,1802,0,1
2,Payment,1710878520.677706,870,0,1
1,NewOrder,1710878520.678585,3863,0,1
2,Payment,1710878520.682460,950,0,1
4,Delivery,1710878520.683418,7224,0,1
1,NewOrder,1710878520.690657,3843,0,1
3,OrderStatus,1710878520.694512,646,0,1
2,Payment,1710878520.695166,1042,0,1
1,NewOrder,1710878520.696217,3089,0,1
1,NewOrder,1710878520.699316,3000,0,1
1,NewOrder,1710878520.702327,2303,0,1
1,NewOrder,1710878520.704642,2083,0,1
1,NewOrder,1710878520.706735,2097,0,1
2,Payment,1710878520.708842,1040,0,1
2,Payment,1710878520.709892,1048,0,1
1,NewOrder,1710878520.710950,2895,0,1
1,NewOrder,1710878520.713858,3059,0,1
2,Payment,1710878520.716929,1408,0,1
1,NewOrder,1710878520.718348,2552,0,1
2,Payment,1710878520.720913,1019,0,1
5,StockLevel,1710878520.721943,1692,0,1
1,NewOrder,1710878520.723652,4433,0,1
2,Payment,1710878520.728101,1167,0,1
1,NewOrder,1710878520.729279,3362,0,1
1,NewOrder,1710878520.732653,2585,0,1
2,Payment,1710878520.735249,1028,0,1
1,NewOrder,1710878520.736285,3839,0,1
1,NewOrder,1710878520.740134,2363,0,1
5,StockLevel,1710878520.742511,1310,0,1
1,NewOrder,1710878520.743830,3022,0,1
1,NewOrder,1710878520.746864,2085,0,1
2,Payment,1710878520.748959,976,0,1
1,NewOrder,1710878520.749944,3312,0,1
1,NewOrder,1710878520.753269,2959,0,1
1,NewOrder,1710878520.756243,3517,0,1
1,NewOrder,1710878520.759775,2301,0,1
3,OrderStatus,1710878520.762088,760,0,1
2,Payment,1710878520.762856,1034,0,1
3,OrderStatus,1710878520.763900,626,0,1
2,Payment,1710878520.764533,1013,0,1
2,Payment,1710878520.765556,1044,0,1
2,Payment,1710878520.766610,1022,0,1
2,Payment,1710878520.767641,911,0,1
2,Payment,1710878520.768561,896,0,1
1,NewOrder,1710878520.769467,2195,0,1
1,NewOrder,1710878520.771672,3067,0,1
1,NewOrder,1710878520.774748,3307,0,1
2,Payment,1710878520.778069,1046,0,1
1,NewOrder,1710878520.779124,2754,0,1
2,Payment,1710878520.781888,850,0,1
2,Payment,1710878520.782746,829,0,1
2,Payment,1710878520.783582,884,0,1
2,Payment,1710878520.784475,900,0,1
1,NewOrder,1710878520.785384,3102,0,1
1,NewOrder,1710878520.788499,2423,0,1
1,NewOrder,1710878520.790934,3262,0,1
1,NewOrder,1710878520.794211,3126,0,1
1,NewOrder,1710878520.797351,2583,0,1
5,StockLevel,1710878520.799945,1295,0,1
1,NewOrder,1710878520.801248,2182,0,1
2,Payment,1710878520.803444,1006,0,1
3,OrderStatus,1710878520.804459,478,0,1
1,NewOrder,1710878520.804944,2814,0,1
2,Payment,1710878520.807773,1070,0,1
1,NewOrder,1710878520.808854,3378,0,1
1,NewOrder,1710878520.812246,2994,0,1
5,StockLevel,1710878520.815254,1158,0,1
